,Symbol,Div,AD,ED,RD
5413,EOS,0.0988,2019-03-01,2019-03-20,2019-03-21
5414,EOS,0.0988,2019-02-01,2019-02-20,2019-02-21
5415,EOS,0.0988,2019-01-02,2019-01-23,2019-01-24
5416,EOS,0.0875,2018-12-03,2018-12-21,2018-12-24
5417,EOS,0.0875,2018-11-01,2018-11-21,2018-11-23
5418,EOS,0.0875,2018-10-01,2018-10-23,2018-10-24
5419,EPHE,0.161849,2019-12-13,2020-06-15,2020-06-16
5420,EPHE,,2018-12-28,2019-12-30,2019-12-31
5421,EPHE,0.03105,2018-12-28,2019-12-16,2019-12-17
5422,EPHE,0.23706,2018-12-28,2019-06-17,2019-06-18
5423,EPHE,,2018-01-23,2018-12-28,2018-12-31
5424,EPHE,0.020785,2017-12-29,2018-12-18,2018-12-19
5425,EPOL,0.17496,2019-12-13,2020-06-15,2020-06-16
5426,EPOL,,2018-12-28,2019-12-30,2019-12-31
5427,EPOL,0.488662,2018-12-28,2019-12-16,2019-12-17
5428,EPOL,0.040113,2018-12-28,2019-06-17,2019-06-18
5429,EPOL,,2018-01-23,2018-12-28,2018-12-31
5430,EPOL,0.312954,2017-12-29,2018-12-18,2018-12-19
5431,EPR,0.3825,2020-04-15,2020-04-29,2020-04-30
5432,EPR,0.3825,2020-02-24,2020-03-30,2020-03-31
5433,EPR,0.375,2020-02-14,2020-02-27,2020-02-28
5434,EPR,0.375,2020-01-17,2020-01-30,2020-01-31
5435,EPR,0.375,2019-12-16,2019-12-30,2019-12-31
5436,EPR,0.375,2019-11-15,2019-11-27,2019-11-29
5437,EPR,0.375,2019-10-18,2019-10-30,2019-10-31
5438,EPR,0.375,2019-09-17,2019-09-27,2019-09-30
5439,EPR,0.375,2019-08-13,2019-08-29,2019-08-30
5440,EPR,0.375,2019-07-17,2019-07-30,2019-07-31
5441,EPR,0.375,2019-06-18,2019-06-27,2019-06-28
5442,EPR,0.375,2019-05-16,2019-05-30,2019-05-31
5443,EPR,0.375,2019-04-16,2019-04-29,2019-04-30
5444,EPR,0.375,2019-03-18,2019-03-28,2019-03-29
5445,EPR,0.375,2019-02-15,2019-02-27,2019-02-28
5446,EPR,0.375,2019-01-16,2019-01-30,2019-01-31
5447,EPR,0.36,2018-12-17,2018-12-28,2018-12-31
5448,EPR,0.36,2018-11-16,2018-11-29,2018-11-30
5449,EPR,0.36,2018-10-17,2018-10-30,2018-10-31
5450,EPRF,0.095,2020-09-28,2020-09-29,2020-09-30
5451,EPRF,0.1,2020-08-27,2020-08-28,2020-08-31
5452,EPRF,0.1,2020-07-30,2020-07-30,2020-07-31
5453,EPRF,0.1,2020-06-26,2020-06-29,2020-06-30
5454,EPRF,0.1,2020-05-27,2020-05-28,2020-05-29
5455,EPRF,0.1,2020-04-28,2020-04-29,2020-04-30
5456,EPRF,0.1,2020-02-26,2020-02-27,2020-02-28
5457,EPRF,0.1,2020-01-29,2020-01-30,2020-01-31
5458,EPRF,0.1698725,2019-12-27,2019-12-30,2019-12-31
5459,EPRF,0.095,2019-11-26,2019-11-27,2019-11-29
5460,EPRF,0.095,2019-10-29,2019-10-30,2019-10-31
5461,EPRF,0.095,2019-09-26,2019-09-27,2019-09-30
5462,EPRF,0.095,2019-08-28,2019-08-29,2019-08-30
5463,EPRF,0.095,2019-07-29,2019-07-30,2019-07-31
5464,EPRF,0.095,2019-06-26,2019-06-27,2019-06-28
5465,EPRF,0.095,2019-05-29,2019-05-30,2019-05-31
5466,EPRF,0.095,2019-04-26,2019-04-29,2019-04-30
5467,EPRF,0.095,2019-03-27,2019-03-28,2019-03-29
5468,EPRF,0.095,2019-02-26,2019-02-27,2019-02-28
5469,EPRF,0.095,2019-01-29,2019-01-30,2019-01-31
5470,EPRF,0.16777,2018-12-20,2018-12-21,2018-12-24
5471,EPRF,0.0931,2018-11-26,2018-11-27,2018-11-28
5472,EPRF,0.0931,2018-10-23,2018-10-24,2018-10-25
5473,EPS,0.175,2020-01-08,2020-09-22,2020-09-23
5474,EPS,0.19,2020-01-08,2020-06-23,2020-06-24
5475,EPS,0.17927,2020-01-08,2020-03-24,2020-03-25
5476,EPS,,2019-02-26,2019-12-23,2019-12-24
5477,EPS,,2019-12-09,2019-12-09,2019-12-10
5478,EPS,0.175,2019-02-26,2019-09-24,2019-09-25
5479,EPS,0.16,2019-02-26,2019-06-24,2019-06-25
5480,EPS,0.125,2019-02-26,2019-03-26,2019-03-27
5481,EPS,0.16442,2018-12-21,2018-12-24,2018-12-26
5482,EPU,0.480027,2019-12-13,2020-06-15,2020-06-16
5483,EPU,,2018-12-26,2019-12-30,2019-12-31
5484,EPU,0.325213,2018-12-26,2019-12-16,2019-12-17
5485,EPU,0.665661,2018-12-26,2019-06-17,2019-06-18
5486,EPU,,2018-01-23,2018-12-28,2018-12-31
5487,EPU,0.158182,2017-12-30,2018-12-18,2018-12-19
5488,EQAL,0.14326,2020-01-28,2020-09-21,2020-09-22
5489,EQAL,0.15196,2020-01-28,2020-06-22,2020-06-23
5490,EQAL,0.16459,2020-01-28,2020-03-23,2020-03-24
5491,EQAL,0.19253,2019-01-18,2019-12-23,2019-12-24
5492,EQAL,0.15377,2019-01-18,2019-09-23,2019-09-24
5493,EQAL,0.13064,2019-01-18,2019-06-24,2019-06-25
5494,EQAL,0.07396,2019-03-15,2019-03-18,2019-03-19
5495,EQAL,0.13,2018-12-21,2018-12-24,2018-12-26
5496,EQC,2020-09-16,2020-09-30,2020-10-01,3.5
5497,EQC,2019-09-24,2019-10-04,2019-10-07,3.5
5498,EQL,0.4147,2020-09-16,2020-09-17,2020-09-18
5499,EQL,0.63603,2020-03-18,2020-03-19,2020-03-20
5500,EQL,0.47888,2019-01-04,2019-12-19,2019-12-20
5501,EQL,0.36098,2019-01-04,2019-09-19,2019-09-20
5502,EQL,0.41453,2019-01-04,2019-06-20,2019-06-21
5503,EQL,0.30665,2019-01-04,2019-03-21,2019-03-22
5504,EQL,0.4856,2018-12-19,2018-12-20,2018-12-21
5505,EQRR,0.16532,2020-09-22,2020-09-23,2020-09-24
5506,EQRR,0.166575,2020-06-23,2020-06-24,2020-06-25
5507,EQRR,0.224043,2020-03-24,2020-03-25,2020-03-26
5508,EQRR,0.264563,2019-12-23,2019-12-24,2019-12-26
5509,EQRR,0.227015,2019-09-24,2019-09-25,2019-09-26
5510,EQRR,0.182527,2019-06-24,2019-06-25,2019-06-26
5511,EQRR,0.219233,2019-03-19,2019-03-20,2019-03-21
5512,EQRR,0.284892,2018-12-24,2018-12-26,2018-12-27
5513,EQT,0.03,2020-02-04,2020-02-13,2020-02-14
5514,EQT,0.03,2019-10-09,2019-11-07,2019-11-08
5515,EQT,0.03,2019-07-11,2019-08-08,2019-08-09
5516,EQT,0.03,2019-04-17,2019-05-14,2019-05-15
5517,EQT,0.03,2019-01-16,2019-02-14,2019-02-15
5518,EQT,0.03,2018-10-10,2018-11-20,2018-11-21
5519,ERH,0.072,2020-09-25,2020-10-13,2020-10-14
5520,ERH,0.07233,2020-08-12,2020-09-11,2020-09-14
5521,ERH,0.07809,2020-07-31,2020-08-13,2020-08-14
5522,ERH,0.07957,2020-06-26,2020-07-13,2020-07-14
5523,ERH,0.08033,2020-05-28,2020-06-12,2020-06-15
5524,ERH,0.08027,2020-04-24,2020-05-11,2020-05-12
5525,ERH,0.08096,2020-03-27,2020-04-13,2020-04-14
5526,ERH,0.0804,2020-02-20,2020-03-12,2020-03-13
5527,ERH,0.07988,2020-01-31,2020-02-13,2020-02-14
5528,ERH,0.07949,2019-12-27,2020-01-13,2020-01-14
5529,ERH,0.07922,2019-11-22,2019-12-12,2019-12-13
5530,ERH,0.07875,2019-10-25,2019-11-12,2019-11-13
5531,ERH,0.0784,2019-09-27,2019-10-15,2019-10-16
5532,ERH,0.075,2019-08-14,2019-09-12,2019-09-13
5533,ERH,0.075,2019-07-26,2019-08-12,2019-08-13
5534,ERH,0.075,2019-06-28,2019-07-11,2019-07-12
5535,ERH,0.075,2019-05-22,2019-06-13,2019-06-14
5536,ERH,0.075,2019-04-26,2019-05-13,2019-05-14
5537,ERH,0.075,2019-03-29,2019-04-11,2019-04-12
5538,ERH,0.075,2019-02-21,2019-03-11,2019-03-12
5539,ERH,0.075,2019-01-25,2019-02-13,2019-02-14
5540,ERH,0.075,2018-12-28,2019-01-15,2019-01-16
5541,ERH,0.075,2018-11-09,2018-12-14,2018-12-17
5542,ERH,0.075,2018-10-26,2018-11-13,2018-11-14
5543,ERIE,0.965,2020-07-28,2020-10-02,2020-10-05
5544,ERIE,0.965,2020-04-20,2020-07-06,2020-07-07
5545,ERIE,0.965,2020-02-20,2020-04-03,2020-04-06
5546,ERIE,0.965,2019-12-13,2020-01-06,2020-01-07
5547,ERIE,0.9,2019-07-23,2019-10-04,2019-10-07
5548,ERIE,0.9,2019-04-30,2019-07-08,2019-07-09
5549,ERIE,0.9,2019-02-14,2019-04-05,2019-04-08
5550,ERIE,0.9,2018-12-04,2019-01-07,2019-01-08
5551,ERSX,0.2688,2019-12-18,2019-12-19,2019-12-20
5552,ERX,0.10153,2020-01-09,2020-09-22,2020-09-23
5553,ERX,0.1612,2020-01-09,2020-06-23,2020-06-24
5554,ESBA,0.105,2020-02-28,2020-03-13,2020-03-16
5555,ESBA,0.105,2019-12-13,2019-12-20,2019-12-23
5556,ESBA,0.105,2019-08-09,2019-09-13,2019-09-16
5557,ESBA,0.105,2019-05-17,2019-06-13,2019-06-14
5558,ESBA,0.105,2019-03-01,2019-03-14,2019-03-15
5559,ESBA,0.105,2018-12-07,2018-12-14,2018-12-17
5560,ESCA,0.14,2020-08-06,2020-09-11,2020-09-14
5561,ESCA,0.125,2020-04-15,2020-05-29,2020-06-01
5562,ESCA,0.125,2020-02-19,2020-03-06,2020-03-09
5563,ESCA,0.125,2019-10-30,2019-12-06,2019-12-09
5564,ESCA,0.125,2019-08-07,2019-09-06,2019-09-09
5565,ESCA,0.125,2019-04-17,2019-05-31,2019-06-03
5566,ESCA,0.125,2019-02-20,2019-03-08,2019-03-11
5567,ESCA,0.125,2018-10-31,2018-12-07,2018-12-10
5568,ESE,0.08,2020-08-10,2020-09-30,2020-10-01
5569,ESE,0.08,2020-05-06,2020-07-01,2020-07-02
5570,ESE,0.08,2020-02-04,2020-04-01,2020-04-02
5571,ESE,0.08,2019-11-19,2019-12-31,2020-01-02
5572,ESE,0.08,2019-08-08,2019-10-02,2019-10-03
5573,ESE,0.08,2019-05-07,2019-07-03,2019-07-05
5574,ESE,0.08,2019-02-07,2019-04-02,2019-04-03
5575,ESE,0.08,2018-11-15,2019-01-02,2019-01-03
5576,ESEB,0.05879,2020-09-30,2020-10-01,2020-10-02
5577,ESEB,0.06475,2020-08-31,2020-09-01,2020-09-02
5578,ESEB,0.06452,2020-07-31,2020-08-03,2020-08-04
5579,ESEB,0.05893,2020-06-30,2020-07-01,2020-07-02
5580,ESEB,0.06044,2020-05-29,2020-06-01,2020-06-02
5581,ESEB,0.04306,2020-04-30,2020-05-01,2020-05-04
5582,ESEB,0.06344,2020-03-31,2020-04-01,2020-04-02
5583,ESEB,0.06641,2020-02-28,2020-03-02,2020-03-03
5584,ESEB,0.06815,2020-01-31,2020-02-03,2020-02-04
5585,ESEB,0.20053,2019-12-19,2019-12-20,2019-12-23
5586,ESEB,0.07523,2019-12-02,2019-12-03,2019-12-04
5587,ESEB,0.07446,2019-10-31,2019-11-01,2019-11-04
5588,ESEB,0.07455,2019-09-30,2019-10-01,2019-10-02
5589,ESEB,0.07451,2019-09-03,2019-09-04,2019-09-05
5590,ESEB,0.08302,2019-07-31,2019-08-01,2019-08-02
5591,ESEB,0.08262,2019-06-28,2019-07-01,2019-07-02
5592,ESEB,0.07911,2019-05-31,2019-06-03,2019-06-04
5593,ESEB,0.08101,2019-04-30,2019-05-01,2019-05-02
5594,ESEB,0.083,2019-03-29,2019-04-01,2019-04-02
5595,ESEB,0.08115,2019-02-28,2019-03-01,2019-03-04
5596,ESEB,0.08176,2019-01-31,2019-02-01,2019-02-04
5597,ESEB,0.09196,2018-12-20,2018-12-21,2018-12-24
5598,ESEB,0.09113,2018-01-30,2018-12-03,2018-12-04
5599,ESEB,0.09151,2018-01-30,2018-11-01,2018-11-02
5600,ESGA,0.0751,2020-09-21,2020-09-22,2020-09-23
5601,ESGD,0.584974,2019-12-13,2020-06-15,2020-06-16
5602,ESGD,0.597981,2018-12-28,2019-12-16,2019-12-17
5603,ESGD,1.171951,2018-12-28,2019-06-17,2019-06-18
5604,ESGG,0.376279,2020-01-30,2020-09-18,2020-09-21
5605,ESGG,,2020-01-30,2020-06-19,2020-06-22
5606,ESGG,0.381601,2020-01-30,2020-03-20,2020-03-23
5607,ESGG,0.483828,2019-12-19,2019-12-20,2019-12-23
5608,ESGG,0.386456,2019-09-19,2019-09-20,2019-09-23
5609,ESGG,0.769152,2019-06-20,2019-06-21,2019-06-24
5610,ESGG,0.456542,2019-03-14,2019-03-15,2019-03-18
5611,ESGG,0.399825,2018-01-06,2018-12-21,2018-12-24
5612,ESGRP,0.4375,2020-08-05,2020-08-13,2020-08-15
5613,ESGRP,0.4375,2020-05-05,2020-05-14,2020-05-15
5614,ESGRP,0.4375,2020-02-04,2020-02-13,2020-02-15
5615,ESGRP,0.4375,2019-11-05,2019-11-14,2019-11-15
5616,ESGRP,0.4375,2019-08-05,2019-08-14,2019-08-15
5617,ESGRP,0.4375,2019-05-03,2019-05-14,2019-05-15
5618,ESGRP,0.4375,2019-02-05,2019-02-14,2019-02-15
5619,ESGRP,0.4375,2018-11-06,2018-11-14,2018-11-15
5620,ESGU,0.282528,2019-12-12,2020-09-23,2020-09-24
5621,ESGU,0.254646,2019-12-12,2020-06-15,2020-06-16
5622,ESGU,0.260469,2019-12-12,2020-03-25,2020-03-26
5623,ESGU,0.01084,2018-12-24,2019-12-30,2019-12-31
5624,ESGU,0.305613,2018-12-24,2019-12-16,2019-12-17
5625,ESGU,0.110167,2018-12-24,2019-09-24,2019-09-25
5626,ESGU,0.294299,2018-12-24,2019-06-17,2019-06-18
5627,ESGU,0.220292,2018-12-24,2019-03-20,2019-03-21
5628,ESGU,0.044698,2018-12-27,2018-12-28,2018-12-31
5629,ESGU,0.044698,2018-12-27,2018-12-28,2018-12-31
5630,ESGU,0.29532,2018-12-14,2018-12-17,2018-12-18
5631,ESHY,0.10663,2020-09-30,2020-10-01,2020-10-02
5632,ESHY,0.10715,2020-08-31,2020-09-01,2020-09-02
5633,ESHY,0.10852,2020-07-31,2020-08-03,2020-08-04
5634,ESHY,0.1104,2020-06-30,2020-07-01,2020-07-02
5635,ESHY,0.06735,2020-05-29,2020-06-01,2020-06-02
5636,ESHY,0.08552,2020-04-30,2020-05-01,2020-05-04
5637,ESHY,0.09032,2020-03-31,2020-04-01,2020-04-02
5638,ESHY,0.1081,2020-02-28,2020-03-02,2020-03-03
5639,ESHY,0.10498,2020-01-31,2020-02-03,2020-02-04
5640,ESHY,0.09646,2019-12-19,2019-12-20,2019-12-23
5641,ESHY,0.10095,2019-12-02,2019-12-03,2019-12-04
5642,ESHY,0.10528,2019-10-31,2019-11-01,2019-11-04
5643,ESHY,0.1013,2019-09-30,2019-10-01,2019-10-02
5644,ESHY,0.10491,2019-09-03,2019-09-04,2019-09-05
5645,ESHY,0.10916,2019-07-31,2019-08-01,2019-08-02
5646,ESHY,0.11306,2019-06-28,2019-07-01,2019-07-02
5647,ESHY,0.11563,2019-05-31,2019-06-03,2019-06-04
5648,ESHY,0.11482,2019-04-30,2019-05-01,2019-05-02
5649,ESHY,0.11354,2019-03-29,2019-04-01,2019-04-02
5650,ESHY,0.10676,2019-02-28,2019-03-01,2019-03-04
5651,ESHY,0.11626,2019-01-31,2019-02-01,2019-02-04
5652,ESHY,0.1227,2018-01-30,2018-12-03,2018-12-04
5653,ESHY,0.10839,2018-01-30,2018-11-01,2018-11-02
5654,ESLT,0.44,2020-08-13,2020-08-31,2020-09-01
5655,ESLT,0.35,2020-05-26,2020-06-05,2020-06-08
5656,ESLT,0.44,2019-11-26,2019-12-26,2019-12-27
5657,ESLT,0.44,2019-08-15,2019-09-06,2019-09-09
5658,ESLT,0.44,2019-05-28,2019-06-06,2019-06-07
5659,ESLT,0.44,2018-11-20,2018-12-06,2018-12-07
5660,ESNG,0.22552,2020-09-21,2020-09-22,2020-09-23
5661,ESNG,0.18502,2020-06-22,2020-06-23,2020-06-24
5662,ESNG,0.15538,2020-03-23,2020-03-24,2020-03-25
5663,ESP,0.25,2020-09-21,2020-10-02,2020-10-05
5664,ESP,0.25,2020-06-08,2020-06-18,2020-06-19
5665,ESP,0.25,2020-03-09,2020-03-23,2020-03-24
5666,ESP,0.25,2019-12-09,2019-12-20,2019-12-23
5667,ESP,0.25,2019-09-09,2019-09-19,2019-09-20
5668,ESP,0.25,2019-06-10,2019-06-18,2019-06-19
5669,ESP,0.25,2019-03-04,2019-03-18,2019-03-19
5670,ESP,0.25,2018-12-10,2018-12-20,2018-12-21
5671,ESRT,0.105,2020-02-28,2020-03-13,2020-03-16
5672,ESRT,0.105,2019-12-13,2019-12-20,2019-12-23
5673,ESRT,0.105,2019-08-09,2019-09-13,2019-09-16
5674,ESRT,0.105,2019-05-17,2019-06-13,2019-06-14
5675,ESRT,0.105,2019-03-01,2019-03-14,2019-03-15
5676,ESRT,0.105,2018-12-07,2018-12-14,2018-12-17
5677,ESSA,0.11,2020-08-26,2020-09-15,2020-09-16
5678,ESSA,0.11,2020-05-19,2020-06-15,2020-06-16
5679,ESSA,0.11,2020-02-25,2020-03-13,2020-03-16
5680,ESSA,0.11,2019-11-21,2019-12-13,2019-12-16
5681,ESSA,0.1,2019-08-29,2019-09-13,2019-09-16
5682,ESSA,0.1,2019-05-28,2019-06-13,2019-06-16
5683,ESSA,0.1,2019-02-26,2019-03-14,2019-03-16
5684,ESSA,0.1,2018-11-09,2018-12-13,2018-12-16
5685,ESXB,0.05,2020-08-06,2020-08-20,2020-08-21
5686,ESXB,0.05,2020-04-29,2020-05-21,2020-05-22
5687,ESXB,0.05,2020-01-22,2020-02-19,2020-02-20
5688,ESXB,0.04,2019-12-06,2019-12-19,2019-12-20
5689,ESXB,0.03,2019-09-05,2019-09-19,2019-09-20
5690,ESXB,0.03,2019-06-06,2019-06-20,2019-06-21
5691,ESXB,0.03,2019-02-15,2019-03-14,2019-03-15
5692,ETFC,0.14,2020-07-23,2020-08-18,2020-08-19
5693,ETFC,0.14,2020-04-22,2020-05-12,2020-05-13
5694,ETFC,0.14,2020-01-22,2020-02-24,2020-02-25
5695,ETFC,0.14,2019-10-16,2019-11-07,2019-11-08
5696,ETFC,0.14,2019-07-17,2019-08-16,2019-08-19
5697,ETFC,0.14,2019-04-16,2019-05-10,2019-05-13
5698,ETFC,0.14,2019-01-23,2019-01-31,2019-02-01
5699,ETFC,0.14,2018-10-17,2018-10-29,2018-10-30
5700,ETH,0.21,2020-08-04,2020-10-07,2020-10-08
5701,ETH,0.21,2020-01-29,2020-04-08,2020-04-09
5702,ETH,0.21,2019-11-13,2020-01-08,2020-01-09
5703,ETH,0.21,2019-07-25,2019-10-09,2019-10-10
5704,ETH,0.19,2019-04-24,2019-07-09,2019-07-10
5705,ETH,0.19,2019-01-28,2019-04-10,2019-04-11
5706,ETH,0.19,2018-11-14,2019-01-09,2019-01-10
5707,ETH,1,2018-11-14,2019-01-09,2019-01-10
5708,ETM,0.02,2020-03-03,2020-03-12,2020-03-13
5709,ETM,0.02,2019-11-15,2019-11-27,2019-11-29
5710,ETM,0.02,2019-08-09,2019-08-28,2019-08-29
5711,ETM,0.09,2019-06-03,2019-06-14,2019-06-17
5712,ETM,0.09,2019-02-26,2019-03-13,2019-03-14
5713,ETM,0.09,2018-11-12,2018-11-26,2018-11-27
5714,ETR,0.93,2020-07-31,2020-08-12,2020-08-13
5715,ETR,0.93,2020-04-08,2020-05-06,2020-05-07
5716,ETR,0.93,2020-01-31,2020-02-12,2020-02-13
5717,ETR,0.93,2019-10-25,2019-11-06,2019-11-07
5718,ETR,0.91,2019-07-26,2019-08-07,2019-08-08
5719,ETR,0.91,2019-04-03,2019-05-08,2019-05-09
5720,ETR,0.91,2019-02-01,2019-02-13,2019-02-14
5721,ETR,0.91,2018-10-26,2018-11-07,2018-11-08
5722,ETV,0.1108,2020-09-01,2020-09-22,2020-09-23
5723,ETV,0.1108,2020-08-03,2020-08-21,2020-08-24
5724,ETV,0.1108,2020-07-01,2020-07-23,2020-07-24
5725,ETV,0.1108,2020-06-01,2020-06-22,2020-06-23
5726,ETV,0.1108,2020-05-01,2020-05-21,2020-05-22
5727,ETV,0.1108,2020-04-01,2020-04-22,2020-04-23
5728,ETV,0.1108,2020-03-02,2020-03-23,2020-03-24
5729,ETV,0.1108,2020-02-03,2020-02-20,2020-02-21
5730,ETV,0.1108,2020-01-02,2020-01-23,2020-01-24
5731,ETV,0.1108,2019-12-02,2019-12-23,2019-12-24
5732,ETV,0.1108,2019-11-01,2019-11-21,2019-11-22
5733,ETV,0.1108,2019-10-01,2019-10-23,2019-10-24
5734,ETV,0.1108,2019-09-03,2019-09-20,2019-09-23
5735,ETV,0.1108,2019-08-01,2019-08-22,2019-08-23
5736,ETV,0.1108,2019-07-01,2019-07-23,2019-07-24
5737,ETV,0.1108,2019-06-03,2019-06-20,2019-06-21
5738,ETV,0.1108,2019-05-01,2019-05-23,2019-05-24
5739,ETV,0.1108,2019-04-01,2019-04-22,2019-04-23
5740,ETV,0.1108,2019-03-01,2019-03-20,2019-03-21
5741,ETV,0.1108,2019-02-01,2019-02-20,2019-02-21
5742,ETV,0.1108,2019-01-02,2019-01-23,2019-01-24
5743,ETV,0.1108,2018-12-03,2018-12-21,2018-12-24
5744,ETV,0.1108,2018-11-01,2018-11-21,2018-11-23
5745,ETV,0.1108,2018-10-01,2018-10-23,2018-10-24
5746,ETX,0.0709,2020-09-01,2020-09-22,2020-09-23
5747,ETX,0.0709,2020-08-03,2020-08-21,2020-08-24
5748,ETX,0.0709,2020-07-01,2020-07-23,2020-07-24
5749,ETX,0.0709,2020-06-01,2020-06-22,2020-06-23
5750,ETX,0.0709,2020-05-01,2020-05-21,2020-05-22
5751,ETX,0.0638,2020-04-01,2020-04-22,2020-04-23
5752,ETX,0.0709,2020-03-02,2020-03-23,2020-03-24
5753,ETX,0.0709,2020-02-03,2020-02-20,2020-02-21
5754,ETX,0.0709,2020-01-02,2020-01-23,2020-01-24
5755,ETX,0.0709,2019-12-02,2019-12-23,2019-12-24
5756,ETX,0.0709,2019-11-01,2019-11-21,2019-11-22
5757,ETX,0.0709,2019-10-01,2019-10-23,2019-10-24
5758,ETX,0.0709,2019-09-03,2019-09-20,2019-09-23
5759,ETX,0.0709,2019-08-01,2019-08-22,2019-08-23
5760,ETX,0.0709,2019-07-01,2019-07-23,2019-07-24
5761,ETX,0.0709,2019-06-03,2019-06-20,2019-06-21
5762,ETX,0.0709,2019-05-01,2019-05-23,2019-05-24
5763,ETX,0.0709,2019-04-01,2019-04-22,2019-04-23
5764,ETX,0.0709,2019-03-01,2019-03-20,2019-03-21
5765,ETX,0.0709,2019-02-01,2019-02-20,2019-02-21
5766,ETX,0.0709,2019-01-02,2019-01-23,2019-01-24
5767,ETX,0.0709,2018-12-03,2018-12-21,2018-12-24
5768,ETX,0.0709,2018-11-01,2018-11-21,2018-11-23
5769,ETX,0.0709,2018-10-01,2018-10-23,2018-10-24
5770,EUDG,0.18,2020-01-08,2020-09-22,2020-09-23
5771,EUDG,0.165,2020-01-08,2020-06-23,2020-06-24
5772,EUDG,0.11305,2020-01-08,2020-03-24,2020-03-25
5773,EUDG,0.09633,2019-02-26,2019-12-23,2019-12-24
5774,EUDG,,2019-12-09,2019-12-09,2019-12-10
5775,EUDG,0.145,2019-02-26,2019-09-24,2019-09-25
5776,EUDG,0.265,2019-02-26,2019-06-24,2019-06-25
5777,EUDG,0.135,2019-02-26,2019-03-26,2019-03-27
5778,EUDG,0.14539,2018-12-21,2018-12-24,2018-12-26
5779,EUFN,0.170513,2019-12-13,2020-06-15,2020-06-16
5780,EUFN,0.182428,2018-12-26,2019-12-16,2019-12-17
5781,EUFN,0.705179,2018-12-26,2019-06-17,2019-06-18
5782,EUM,,2020-01-30,2020-09-23,2020-09-24
5783,EUM,,2020-01-30,2020-06-24,2020-06-25
5784,EUM,0.019646,2020-01-30,2020-03-25,2020-03-26
5785,EUM,0.046702,2019-03-18,2019-12-24,2019-12-26
5786,EUM,0.066354,2019-03-18,2019-09-25,2019-09-26
5787,EUM,0.071286,2019-03-18,2019-06-25,2019-06-26
5788,EUM,0.046502,2019-03-18,2019-03-20,2019-03-21
5789,EUM,0.133181,2018-01-26,2018-12-26,2018-12-27
5790,EURL,,2020-01-09,2020-09-22,2020-09-23
5791,EURL,,2020-01-09,2020-06-23,2020-06-24
5792,EURL,0.05566,2020-01-09,2020-03-24,2020-03-25
5793,EURL,0.08573,2019-03-13,2019-12-23,2019-12-24
5794,EURL,,2019-03-13,2019-09-24,2019-09-25
5795,EURL,0.24731,2019-03-13,2019-06-25,2019-06-26
5796,EURL,0.06399,2019-03-13,2019-03-19,2019-03-20
5797,EURL,0.10394,2018-12-24,2018-12-27,2018-12-28
5798,EURZ,0.11279,2019-12-17,2019-12-18,2019-12-19
5799,EURZ,,2019-12-06,2019-12-09,2019-12-18
5800,EURZ,0.49889,2019-06-18,2019-06-19,2019-06-20
5801,EURZ,0.08635,2018-12-18,2018-12-19,2018-12-20
5802,EUSB,0.0567,2020-09-30,2020-10-01,2020-10-02
5803,EUSB,0.0545,2020-08-31,2020-09-01,2020-09-02
5804,EUSB,0.0597,2020-07-31,2020-08-03,2020-08-04
5805,EV,0.375,2020-07-15,2020-07-30,2020-07-31
5806,EV,0.375,2020-04-15,2020-04-29,2020-04-30
5807,EV,0.375,2020-01-09,2020-01-30,2020-01-31
5808,EV,0.375,2019-10-10,2019-10-30,2019-10-31
5809,EV,0.35,2019-07-10,2019-07-30,2019-07-31
5810,EV,0.35,2019-04-10,2019-04-29,2019-04-30
5811,EV,0.35,2019-01-10,2019-01-30,2019-01-31
5812,EV,0.35,2018-10-11,2018-10-30,2018-10-31
5813,EVC,0.025,2020-08-04,2020-09-14,2020-09-15
5814,EVC,0.025,2020-05-07,2020-06-12,2020-06-15
5815,EVC,0.05,2020-03-05,2020-03-13,2020-03-16
5816,EVC,0.05,2019-11-07,2019-12-13,2019-12-16
5817,EVC,0.05,2019-08-06,2019-09-13,2019-09-16
5818,EVC,0.05,2019-05-07,2019-06-13,2019-06-14
5819,EVC,0.05,2019-03-08,2019-03-19,2019-03-20
5820,EVC,0.05,2018-11-07,2018-12-13,2018-12-14
5821,EVF,0.036,2020-10-01,2020-10-09,2020-10-13
5822,EVF,0.035,2020-09-01,2020-09-10,2020-09-11
5823,EVF,0.031,2020-08-03,2020-08-12,2020-08-13
5824,EVF,0.027,2020-07-01,2020-07-10,2020-07-13
5825,EVF,0.026,2020-06-01,2020-06-10,2020-06-11
5826,EVF,0.026,2020-05-01,2020-05-08,2020-05-11
5827,EVF,0.03,2020-04-01,2020-04-09,2020-04-13
5828,EVF,0.035,2020-03-02,2020-03-11,2020-03-12
5829,EVF,0.038,2020-02-03,2020-02-12,2020-02-13
5830,EVF,0.038,2019-12-20,2019-12-27,2019-12-30
5831,EVF,0.038,2019-12-02,2019-12-11,2019-12-12
5832,EVF,0.038,2019-11-01,2019-11-08,2019-11-12
5833,EVF,0.038,2019-10-01,2019-10-10,2019-10-11
5834,EVF,0.035,2019-09-03,2019-09-12,2019-09-13
5835,EVF,0.034,2019-08-01,2019-08-09,2019-08-12
5836,EVF,0.034,2019-07-01,2019-07-10,2019-07-11
5837,EVF,0.034,2019-06-03,2019-06-12,2019-06-13
