,Symbol,AD,ED,RD
6444,FDIV,2020-06-24,2020-06-25,2020-06-26
6445,FDIV,2020-05-21,2020-05-21,2020-05-22
6446,FDIV,2020-04-20,2020-04-21,2020-04-22
6447,FDIV,2020-03-25,2020-03-26,2020-03-27
6448,FDIV,2020-02-20,2020-02-21,2020-02-24
6449,FDIV,2020-01-21,2020-01-22,2020-01-23
6450,FDIV,2019-12-12,2019-12-13,2019-12-16
6451,FDIV,2019-11-20,2019-11-21,2019-11-22
6452,FDIV,2019-10-21,2019-10-22,2019-10-23
6453,FDIV,2019-09-24,2019-09-25,2019-09-26
6454,FDIV,2019-08-20,2019-08-21,2019-08-22
6455,FDIV,2019-07-22,2019-07-23,2019-07-24
6456,FDIV,2019-06-13,2019-06-14,2019-06-17
6457,FDIV,2019-05-20,2019-05-21,2019-05-22
6458,FDIV,2019-04-22,2019-04-23,2019-04-24
6459,FDIV,2019-03-20,2019-03-21,2019-03-22
6460,FDIV,2019-02-20,2019-02-21,2019-02-22
6461,FDIV,2019-01-22,2019-01-23,2019-01-24
6462,FDIV,2018-11-20,2018-11-21,2018-11-23
6463,FDIV,2018-10-22,2018-10-23,2018-10-24
6464,FDLO,2020-02-05,2020-09-18,2020-09-21
6465,FDLO,2020-02-05,2020-06-19,2020-06-22
6466,FDLO,2020-02-05,2020-03-20,2020-03-23
6467,FDLO,2019-01-15,2019-12-20,2019-12-23
6468,FDLO,2019-01-15,2019-09-20,2019-09-23
6469,FDLO,2019-01-15,2019-06-21,2019-06-24
6470,FDLO,2019-01-15,2019-03-15,2019-03-18
6471,FDLO,2018-01-25,2018-12-28,2018-12-31
6472,FDLO,2018-01-25,2018-12-21,2018-12-24
6473,FDMO,2020-02-05,2020-09-18,2020-09-21
6474,FDMO,2020-02-05,2020-06-19,2020-06-22
6475,FDMO,2020-02-05,2020-03-20,2020-03-23
6476,FDMO,2019-12-27,2019-12-30,2019-12-31
6477,FDMO,2019-01-15,2019-12-20,2019-12-23
6478,FDMO,2019-01-15,2019-09-20,2019-09-23
6479,FDMO,2019-01-15,2019-06-21,2019-06-24
6480,FDMO,2019-01-15,2019-03-15,2019-03-18
6481,FDMO,2018-01-25,2018-12-28,2018-12-31
6482,FDMO,2018-01-25,2018-12-21,2018-12-24
6483,FDNI,2019-12-12,2019-12-13,2019-12-16
6484,FDNI,2019-09-24,2019-09-25,2019-09-26
6485,FDNI,2019-06-13,2019-06-14,2019-06-17
6486,FDRR,2020-02-05,2020-09-18,2020-09-21
6487,FDRR,2020-02-05,2020-06-19,2020-06-22
6488,FDRR,2020-02-05,2020-03-20,2020-03-23
6489,FDRR,2019-01-15,2019-12-20,2019-12-23
6490,FDRR,2019-01-15,2019-09-20,2019-09-23
6491,FDRR,2019-01-15,2019-06-21,2019-06-24
6492,FDRR,2019-01-15,2019-03-15,2019-03-18
6493,FDRR,2018-01-25,2018-12-28,2018-12-31
6494,FDRR,2018-01-25,2018-12-21,2018-12-24
6495,FDT,2020-09-23,2020-09-24,2020-09-25
6496,FDT,2020-06-24,2020-06-25,2020-06-26
6497,FDT,2020-03-25,2020-03-26,2020-03-27
6498,FDT,2019-12-12,2019-12-13,2019-12-16
6499,FDT,2019-09-24,2019-09-25,2019-09-26
6500,FDT,2019-06-13,2019-06-14,2019-06-17
6501,FDT,2019-03-20,2019-03-21,2019-03-22
6502,FDT,2018-01-09,2018-12-18,2018-12-19
6503,FDUS,2020-08-03,2020-09-10,2020-09-11
6504,FDUS,2020-04-29,2020-06-11,2020-06-12
6505,FDUS,2020-02-12,2020-03-12,2020-03-13
6506,FDUS,2019-10-29,2019-12-05,2019-12-06
6507,FDUS,2019-10-29,2019-12-05,2019-12-06
6508,FDUS,2019-07-29,2019-09-05,2019-09-06
6509,FDUS,2019-04-29,2019-06-06,2019-06-07
6510,FDUS,2019-01-31,2019-03-07,2019-03-08
6511,FDUS,2018-10-30,2018-12-06,2018-12-07
6512,FDUS,2018-10-30,2018-12-06,2018-12-07
6513,FDVV,2020-02-05,2020-09-18,2020-09-21
6514,FDVV,2020-02-05,2020-06-19,2020-06-22
6515,FDVV,2020-02-05,2020-03-20,2020-03-23
6516,FDVV,2019-01-15,2019-12-20,2019-12-23
6517,FDVV,2019-01-15,2019-09-20,2019-09-23
6518,FDVV,2019-01-15,2019-06-21,2019-06-24
6519,FDVV,2019-01-15,2019-03-15,2019-03-18
6520,FDVV,2018-01-25,2018-12-28,2018-12-31
6521,FDVV,2018-01-25,2018-12-21,2018-12-24
6522,FE,2020-07-21,2020-08-06,2020-08-07
6523,FE,2020-03-17,2020-05-06,2020-05-07
6524,FE,2019-11-08,2020-02-06,2020-02-07
6525,FE,2019-09-17,2019-11-06,2019-11-07
6526,FE,2019-07-16,2019-08-06,2019-08-07
6527,FE,2019-03-19,2019-05-06,2019-05-07
6528,FE,2018-11-09,2019-02-06,2019-02-07
6529,FE,2018-09-18,2018-11-06,2018-11-07
6530,FEM,2020-09-23,2020-09-24,2020-09-25
6531,FEM,2020-06-24,2020-06-25,2020-06-26
6532,FEM,2020-03-25,2020-03-26,2020-03-27
6533,FEM,2019-12-12,2019-12-13,2019-12-16
6534,FEM,2019-09-24,2019-09-25,2019-09-26
6535,FEM,2019-06-13,2019-06-14,2019-06-17
6536,FEM,2019-03-20,2019-03-21,2019-03-22
6537,FEM,2018-01-09,2018-12-18,2018-12-19
6538,FEMS,2020-09-23,2020-09-24,2020-09-25
6539,FEMS,2020-06-24,2020-06-25,2020-06-26
6540,FEMS,2020-03-25,2020-03-26,2020-03-27
6541,FEMS,2019-12-12,2019-12-13,2019-12-16
6542,FEMS,2019-09-24,2019-09-25,2019-09-26
6543,FEMS,2019-06-13,2019-06-14,2019-06-17
6544,FEMS,2018-01-09,2018-12-18,2018-12-19
6545,FENY,2020-02-05,2020-09-18,2020-09-21
6546,FENY,2020-02-05,2020-06-19,2020-06-22
6547,FENY,2020-02-05,2020-03-20,2020-03-23
6548,FENY,2019-01-16,2019-12-20,2019-12-23
6549,FENY,2019-01-16,2019-09-20,2019-09-23
6550,FENY,2019-01-16,2019-06-21,2019-06-24
6551,FENY,2019-01-16,2019-03-15,2019-03-18
6552,FENY,2018-01-25,2018-12-28,2018-12-31
6553,FENY,2018-01-25,2018-12-21,2018-12-24
6554,FEP,2020-09-23,2020-09-24,2020-09-25
6555,FEP,2020-06-24,2020-06-25,2020-06-26
6556,FEP,2020-03-25,2020-03-26,2020-03-27
6557,FEP,2019-12-12,2019-12-13,2019-12-16
6558,FEP,2019-09-24,2019-09-25,2019-09-26
6559,FEP,2019-06-13,2019-06-14,2019-06-17
6560,FEP,2019-03-20,2019-03-21,2019-03-22
6561,FEP,2018-01-09,2018-12-18,2018-12-19
6562,FEX,2020-09-23,2020-09-24,2020-09-25
6563,FEX,2020-06-24,2020-06-25,2020-06-26
6564,FEX,2020-03-25,2020-03-26,2020-03-27
6565,FEX,2019-12-12,2019-12-13,2019-12-16
6566,FEX,2019-09-24,2019-09-25,2019-09-26
6567,FEX,2019-06-13,2019-06-14,2019-06-17
6568,FEX,2019-03-20,2019-03-21,2019-03-22
6569,FEX,2018-01-09,2018-12-18,2018-12-19
6570,FEZ,2020-01-16,2020-09-21,2020-09-22
6571,FEZ,2020-01-16,2020-06-22,2020-06-23
6572,FEZ,2020-01-16,2020-03-23,2020-03-24
6573,FEZ,2019-01-11,2019-12-20,2019-12-23
6574,FEZ,2019-01-11,2019-09-20,2019-09-23
6575,FEZ,2019-01-11,2019-06-21,2019-06-24
6576,FEZ,2019-01-11,2019-03-15,2019-03-18
6577,FEZ,2018-01-13,2018-12-28,2018-12-31
6578,FEZ,2018-01-10,2018-12-21,2018-12-24
6579,FFA,2020-09-10,2020-09-22,2020-09-23
6580,FFA,2020-06-10,2020-06-22,2020-06-23
6581,FFA,2020-03-10,2020-03-20,2020-03-23
6582,FFA,2019-12-10,2019-12-20,2019-12-23
6583,FFA,2019-09-10,2019-09-20,2019-09-23
6584,FFA,2019-06-10,2019-06-21,2019-06-24
6585,FFA,2019-03-11,2019-03-22,2019-03-25
6586,FFA,2018-12-10,2018-12-21,2018-12-24
6587,FFG,2020-08-27,2020-09-14,2020-09-15
6588,FFG,2020-05-18,2020-06-12,2020-06-15
6589,FFG,2020-02-26,2020-03-13,2020-03-16
6590,FFG,2020-02-26,2020-03-13,2020-03-16
6591,FFG,2019-11-20,2019-12-13,2019-12-16
6592,FFG,2019-08-22,2019-09-13,2019-09-16
6593,FFG,2019-05-16,2019-06-13,2019-06-14
6594,FFG,2019-02-27,2019-03-14,2019-03-15
6595,FFG,2019-02-27,2019-03-14,2019-03-15
6596,FFG,2018-11-14,2018-12-13,2018-12-14
6597,FFIN,2020-07-28,2020-09-15,2020-09-16
6598,FFIN,2020-04-28,2020-06-15,2020-06-16
6599,FFIN,2020-01-28,2020-03-13,2020-03-16
6600,FFIN,2019-10-22,2019-12-12,2019-12-13
6601,FFIN,2019-07-23,2019-09-13,2019-09-16
6602,FFIN,2019-04-23,2019-06-14,2019-06-17
6603,FFIN,2019-04-23,2019-05-15,2019-06-04
6604,FFIN,2019-01-22,2019-03-14,2019-03-15
6605,FFIN,2018-10-23,2018-12-13,2018-12-14
6606,FFR,2020-01-21,2020-09-24,2020-09-25
6607,FFR,2020-01-21,2020-06-25,2020-06-26
6608,FFR,2020-01-21,2020-03-26,2020-03-27
6609,FFR,2019-01-21,2019-12-13,2019-12-16
6610,FFR,2019-01-21,2019-09-25,2019-09-26
6611,FFR,2019-01-21,2019-06-14,2019-06-17
6612,FFR,2019-01-21,2019-03-21,2019-03-22
6613,FFR,2018-01-11,2018-12-18,2018-12-19
6614,FFTG,2020-09-14,2020-09-15,2020-09-16
6615,FFTG,2020-06-12,2020-06-15,2020-06-16
6616,FFTG,2020-03-12,2020-03-13,2020-03-16
6617,FFTG,2019-12-13,2019-12-16,2019-12-17
6618,FFTG,2019-11-14,2019-11-15,2019-11-18
6619,FFTG,2019-08-14,2019-08-15,2019-08-16
6620,FFTG,2019-05-14,2019-05-15,2019-05-16
6621,FFTG,2018-12-14,2018-12-17,2018-12-18
6622,FFTG,2018-11-14,2018-11-15,2018-11-16
6623,FGB,2020-08-10,2020-08-21,2020-08-24
6624,FGB,2020-05-11,2020-05-22,2020-05-26
6625,FGB,2020-02-10,2020-02-21,2020-02-24
6626,FGB,2019-11-12,2019-11-22,2019-11-25
6627,FGB,2019-08-12,2019-08-22,2019-08-23
6628,FGB,2019-05-13,2019-05-22,2019-05-23
6629,FGB,2019-02-11,2019-02-22,2019-02-25
6630,FGB,2018-11-08,2018-11-21,2018-11-23
6631,FGD,2020-01-22,2020-09-24,2020-09-25
6632,FGD,2020-01-22,2020-06-25,2020-06-26
6633,FGD,2020-01-22,2020-03-26,2020-03-27
6634,FGD,2019-01-21,2019-12-13,2019-12-16
6635,FGD,2019-01-21,2019-09-25,2019-09-26
6636,FGD,2019-01-21,2019-06-14,2019-06-17
6637,FGD,2019-01-21,2019-03-21,2019-03-22
6638,FGD,2018-01-11,2018-12-18,2018-12-19
6639,FGM,2020-09-23,2020-09-24,2020-09-25
6640,FGM,2020-06-24,2020-06-25,2020-06-26
6641,FGM,2019-12-12,2019-12-13,2019-12-16
6642,FGM,2019-09-24,2019-09-25,2019-09-26
6643,FGM,2019-06-13,2019-06-14,2019-06-17
6644,FHB,2020-07-22,2020-08-21,2020-08-24
6645,FHB,2020-04-22,2020-05-22,2020-05-26
6646,FHB,2020-01-22,2020-02-21,2020-02-24
6647,FHB,2019-10-23,2019-11-22,2019-11-25
6648,FHB,2019-07-24,2019-08-23,2019-08-26
6649,FHB,2019-04-24,2019-05-24,2019-05-28
6650,FHB,2019-01-23,2019-02-22,2019-02-25
6651,FHB,2018-10-24,2018-11-23,2018-11-26
6652,FHK,2020-09-23,2020-09-24,2020-09-25
6653,FHK,2020-06-24,2020-06-25,2020-06-26
6654,FHK,2020-03-25,2020-03-26,2020-03-27
6655,FHK,2019-12-12,2019-12-13,2019-12-16
6656,FHK,2019-09-24,2019-09-25,2019-09-26
6657,FHK,2019-06-13,2019-06-14,2019-06-17
6658,FHK,2018-01-09,2018-12-18,2018-12-19
6659,FHN,2020-07-28,2020-09-10,2020-09-11
6660,FHN,2020-04-29,2020-06-11,2020-06-12
6661,FHN,2020-01-28,2020-03-12,2020-03-13
6662,FHN,2019-10-28,2019-12-12,2019-12-13
6663,FHN,2019-07-23,2019-09-12,2019-09-13
6664,FHN,2019-04-23,2019-06-13,2019-06-14
6665,FHN,2019-01-29,2019-03-14,2019-03-15
6666,FHN,2018-10-23,2018-12-13,2018-12-14
6667,FIBR,2019-12-10,2020-10-01,2020-10-02
6668,FIBR,2019-12-10,2020-09-01,2020-09-02
6669,FIBR,2019-12-10,2020-08-03,2020-08-04
6670,FIBR,2019-12-10,2020-07-01,2020-07-02
6671,FIBR,2019-12-10,2020-06-01,2020-06-02
6672,FIBR,2019-12-10,2020-05-01,2020-05-04
6673,FIBR,2019-12-10,2020-04-01,2020-04-02
6674,FIBR,2019-12-10,2020-03-02,2020-03-03
6675,FIBR,2019-12-10,2020-02-03,2020-02-04
6676,FIBR,2018-12-20,2019-12-30,2019-12-31
6677,FIBR,2018-12-20,2019-12-19,2019-12-20
6678,FIBR,2018-12-20,2019-12-02,2019-12-03
6679,FIBR,2018-12-20,2019-11-01,2019-11-04
6680,FIBR,2018-12-20,2019-10-01,2019-10-02
6681,FIBR,2018-12-20,2019-09-03,2019-09-04
6682,FIBR,2018-12-20,2019-08-01,2019-08-02
6683,FIBR,2018-12-20,2019-07-01,2019-07-02
6684,FIBR,2018-12-20,2019-06-03,2019-06-04
6685,FIBR,2018-12-20,2019-05-01,2019-05-02
6686,FIBR,2018-12-20,2019-04-01,2019-04-02
6687,FIBR,2018-12-20,2019-03-01,2019-03-04
6688,FIBR,2018-12-20,2019-02-01,2019-02-04
6689,FIBR,2018-12-17,2018-12-18,2018-12-19
6690,FIBR,2018-11-30,2018-12-03,2018-12-04
6691,FIBR,2018-10-31,2018-11-01,2018-11-02
6692,FID,2020-09-23,2020-09-24,2020-09-25
6693,FID,2020-06-24,2020-06-25,2020-06-26
6694,FID,2020-03-25,2020-03-26,2020-03-27
6695,FID,2019-12-12,2019-12-13,2019-12-16
6696,FID,2019-09-24,2019-09-25,2019-09-26
6697,FID,2019-06-13,2019-06-14,2019-06-17
6698,FID,2019-03-20,2019-03-21,2019-03-22
6699,FIDU,2020-02-05,2020-09-18,2020-09-21
6700,FIDU,2020-02-05,2020-06-19,2020-06-22
6701,FIDU,2020-02-05,2020-03-20,2020-03-23
6702,FIDU,2019-12-27,2019-12-30,2019-12-31
6703,FIDU,2019-01-16,2019-12-20,2019-12-23
6704,FIDU,2019-01-16,2019-09-20,2019-09-23
6705,FIDU,2019-01-16,2019-06-21,2019-06-24
6706,FIDU,2019-01-16,2019-03-15,2019-03-18
6707,FIDU,2018-01-25,2018-12-28,2018-12-31
6708,FIDU,2018-01-25,2018-12-21,2018-12-24
6709,FIF,2020-09-21,2020-10-01,2020-10-02
6710,FIF,2020-08-20,2020-09-01,2020-09-02
6711,FIF,2020-07-20,2020-08-03,2020-08-04
6712,FIF,2020-04-20,2020-07-01,2020-07-02
6713,FIF,2020-04-20,2020-06-01,2020-06-02
6714,FIF,2020-04-20,2020-05-01,2020-05-04
6715,FIF,2020-03-23,2020-04-01,2020-04-02
6716,FIF,2020-02-20,2020-03-02,2020-03-03
6717,FIF,2020-01-21,2020-02-03,2020-02-04
6718,FIF,2019-12-19,2020-01-02,2020-01-03
6719,FIF,2019-11-20,2019-12-02,2019-12-03
6720,FIF,2019-10-21,2019-11-01,2019-11-04
6721,FIF,2019-09-19,2019-10-01,2019-10-02
6722,FIF,2019-08-20,2019-09-03,2019-09-04
6723,FIF,2019-07-22,2019-08-01,2019-08-02
6724,FIF,2019-06-20,2019-07-01,2019-07-02
6725,FIF,2019-05-20,2019-06-03,2019-06-04
6726,FIF,2019-04-22,2019-05-01,2019-05-02
6727,FIF,2019-03-20,2019-04-01,2019-04-02
6728,FIF,2019-02-20,2019-03-01,2019-03-04
6729,FIF,2019-01-22,2019-02-01,2019-02-04
6730,FIF,2018-12-20,2019-01-02,2019-01-03
6731,FIF,2018-11-20,2018-12-03,2018-12-04
6732,FIF,2018-10-22,2018-11-01,2018-11-02
6733,FINS,2020-09-01,2020-09-15,2020-09-16
6734,FINS,2020-08-03,2020-08-14,2020-08-17
6735,FINS,2020-07-01,2020-07-16,2020-07-17
6736,FINS,2020-06-01,2020-06-15,2020-06-16
6737,FINS,2020-05-01,2020-05-14,2020-05-15
6738,FINS,2020-04-01,2020-04-15,2020-04-16
6739,FINS,2020-03-02,2020-03-16,2020-03-17
6740,FINS,2020-02-03,2020-02-13,2020-02-14
6741,FINS,2020-01-02,2020-01-16,2020-01-17
6742,FINS,2019-12-02,2019-12-16,2019-12-17
6743,FINS,2019-11-01,2019-11-14,2019-11-15
6744,FINS,2019-10-01,2019-10-16,2019-10-17
6745,FINS,2019-09-03,2019-09-13,2019-09-16
6746,FINS,2019-08-01,2019-08-15,2019-08-16
6747,FINS,2019-07-02,2019-07-11,2019-07-12
6748,FINX,2019-12-27,2019-12-30,2019-12-31
6749,FISI,2020-08-25,2020-09-10,2020-09-11
6750,FISI,2020-05-27,2020-06-11,2020-06-12
6751,FISI,2020-02-27,2020-03-18,2020-03-19
6752,FISI,2019-11-26,2019-12-12,2019-12-13
6753,FISI,2019-08-20,2019-09-12,2019-09-13
6754,FISI,2019-05-22,2019-06-13,2019-06-14
6755,FISI,2019-02-27,2019-03-14,2019-03-15
6756,FISI,2018-11-20,2018-12-12,2018-12-13
6757,FISR,2020-01-15,2020-10-01,2020-10-02
6758,FISR,2020-01-15,2020-09-01,2020-09-02
6759,FISR,2020-01-15,2020-08-03,2020-08-04
6760,FISR,2020-01-15,2020-07-01,2020-07-02
6761,FISR,2020-01-15,2020-06-01,2020-06-02
6762,FISR,2020-01-15,2020-05-01,2020-05-04
6763,FISR,2020-01-15,2020-04-01,2020-04-02
6764,FISR,2020-01-15,2020-03-02,2020-03-03
6765,FISR,2020-01-31,2020-02-03,2020-02-04
6766,FISR,2019-04-04,2019-12-20,2019-12-23
6767,FISR,2019-04-04,2019-12-02,2019-12-03
6768,FISR,2019-04-04,2019-11-01,2019-11-04
6769,FISR,2019-04-04,2019-10-01,2019-10-02
6770,FISR,2019-04-04,2019-09-03,2019-09-04
6771,FISR,2019-04-04,2019-08-01,2019-08-02
6772,FISR,2019-04-04,2019-07-01,2019-07-02
6773,FISR,2019-04-04,2019-06-03,2019-06-04
6774,FISR,2019-04-04,2019-05-01,2019-05-02
6775,FITBI,2020-09-22,2020-09-25,2020-09-28
6776,FITBI,2020-02-24,2020-03-26,2020-03-27
6777,FITBI,2019-12-17,2019-12-26,2019-12-27
6778,FITBI,2019-09-17,2019-09-26,2019-09-27
6779,FITBI,2019-06-18,2019-06-27,2019-06-28
6780,FITBI,2019-02-26,2019-03-28,2019-03-29
6781,FITBI,2018-12-18,2018-12-27,2018-12-28
6782,FITBP,2020-09-22,2020-09-25,2020-09-28
6783,FITBP,2020-02-24,2020-03-26,2020-03-27
6784,FITBP,2019-12-17,2019-12-26,2019-12-27
6785,FITBP,2019-09-17,2019-09-26,2019-09-27
6786,FIV,2020-09-21,2020-10-01,2020-10-02
6787,FIV,2020-08-20,2020-09-01,2020-09-02
6788,FIV,2020-07-20,2020-08-03,2020-08-04
6789,FIV,2020-06-22,2020-07-01,2020-07-02
6790,FIV,2020-05-20,2020-06-01,2020-06-02
6791,FIV,2020-04-20,2020-05-01,2020-05-04
6792,FIV,2020-03-19,2020-04-01,2020-04-02
6793,FIV,2020-02-20,2020-03-02,2020-03-03
6794,FIV,2020-01-21,2020-02-03,2020-02-04
6795,FIV,2019-12-19,2020-01-02,2020-01-03
6796,FIV,2019-12-19,2019-12-30,2019-12-31
6797,FIV,2019-11-20,2019-12-02,2019-12-03
6798,FIV,2019-10-21,2019-11-01,2019-11-04
6799,FIV,2019-09-19,2019-10-01,2019-10-02
6800,FIV,2019-08-20,2019-09-03,2019-09-04
6801,FIV,2019-07-22,2019-08-01,2019-08-02
6802,FIV,2019-06-20,2019-07-01,2019-07-02
6803,FIV,2019-05-20,2019-06-03,2019-06-04
6804,FIV,2019-04-22,2019-05-01,2019-05-02
6805,FIV,2019-03-20,2019-04-01,2019-04-02
6806,FIV,2019-02-20,2019-03-01,2019-03-04
6807,FIV,2019-01-22,2019-02-01,2019-02-04
6808,FIV,2018-12-20,2018-12-28,2018-12-31
6809,FIV,2018-11-20,2018-12-03,2018-12-04
6810,FIV,2018-10-22,2018-11-01,2018-11-02
6811,FIX,2020-07-27,2020-08-13,2020-08-14
6812,FIX,2020-04-27,2020-05-14,2020-05-15
6813,FIX,2020-02-26,2020-03-06,2020-03-09
6814,FIX,2019-10-24,2019-11-07,2019-11-11
6815,FIX,2019-07-25,2019-08-09,2019-08-12
6816,FIX,2019-04-25,2019-05-10,2019-05-13
6817,FIX,2019-02-21,2019-03-08,2019-03-11
6818,FIX,2018-10-25,2018-11-08,2018-11-09
6819,FIZZ,2018-11-20,2018-11-29,2018-11-30
6820,FJP,2020-06-24,2020-06-25,2020-06-26
6821,FJP,2019-12-12,2019-12-13,2019-12-16
6822,FJP,2019-09-24,2019-09-25,2019-09-26
6823,FJP,2019-06-13,2019-06-14,2019-06-17
6824,FJP,2018-01-09,2018-12-18,2018-12-19
6825,FKU,2020-09-23,2020-09-24,2020-09-25
6826,FKU,2020-06-24,2020-06-25,2020-06-26
6827,FKU,2020-03-25,2020-03-26,2020-03-27
6828,FKU,2019-12-12,2019-12-13,2019-12-16
6829,FKU,2019-09-24,2019-09-25,2019-09-26
6830,FKU,2019-06-13,2019-06-14,2019-06-17
6831,FKU,2019-03-20,2019-03-21,2019-03-22
6832,FKU,2018-01-09,2018-12-18,2018-12-19
6833,FLAU,2020-06-10,2020-06-11,2020-06-12
6834,FLAU,2019-01-03,2019-12-30,2019-12-31
6835,FLAU,2019-01-03,2019-12-19,2019-12-20
6836,FLAU,2019-12-10,2019-12-11,2019-12-12
6837,FLAU,2019-01-03,2019-06-20,2019-06-21
6838,FLAU,2019-06-10,2019-06-11,2019-06-12
6839,FLAU,2018-01-24,2018-12-28,2018-12-31
6840,FLAU,2018-12-19,2018-12-20,2018-12-21
6841,FLBL,2020-09-29,2020-09-30,2020-10-01
6842,FLBL,2020-08-28,2020-08-31,2020-09-01
6843,FLBL,2020-07-30,2020-07-31,2020-08-03
6844,FLBL,2020-06-29,2020-06-30,2020-07-01
6845,FLBL,2020-05-28,2020-05-29,2020-06-01
6846,FLBL,2020-04-29,2020-04-30,2020-05-01
6847,FLBL,2020-03-30,2020-03-31,2020-04-01
6848,FLBL,2020-02-28,2020-02-28,2020-03-02
6849,FLBL,2020-01-30,2020-01-31,2020-02-03
6850,FLBL,2019-12-27,2019-12-30,2019-12-31
6851,FLBL,2019-01-03,2019-11-29,2019-12-02
6852,FLBL,2019-01-03,2019-10-31,2019-11-01
6853,FLBL,2019-01-03,2019-09-30,2019-10-01
6854,FLBL,2019-01-03,2019-08-30,2019-09-03
6855,FLBL,2019-01-03,2019-07-31,2019-08-01
6856,FLBL,2019-01-03,2019-06-28,2019-07-01
6857,FLBL,2019-01-03,2019-05-31,2019-06-03
6858,FLBL,2019-01-03,2019-04-30,2019-05-01
6859,FLBL,2019-01-03,2019-03-29,2019-04-01
6860,FLBL,2019-01-03,2019-02-28,2019-03-01
6861,FLBL,2019-01-03,2019-01-31,2019-02-01
6862,FLBL,2018-12-27,2018-12-28,2018-12-31
6863,FLBL,2018-11-29,2018-11-30,2018-12-03
6864,FLBL,2018-10-30,2018-10-31,2018-11-01
6865,FLC,2020-07-22,2020-09-22,2020-09-23
6866,FLC,2020-07-22,2020-08-21,2020-08-24
6867,FLC,2020-04-24,2020-07-23,2020-07-24
6868,FLC,2020-04-24,2020-06-22,2020-06-23
6869,FLC,2020-04-24,2020-05-21,2020-05-22
6870,FLC,2020-01-23,2020-04-22,2020-04-23
6871,FLC,2020-01-23,2020-03-23,2020-03-24
6872,FLC,2020-01-23,2020-02-20,2020-02-21
6873,FLC,2019-12-10,2020-01-23,2020-01-24
6874,FLC,2019-12-10,2019-12-20,2019-12-23
6875,FLC,2019-12-10,2019-12-20,2019-12-23
6876,FLC,2019-10-18,2019-11-20,2019-11-21
6877,FLC,2019-07-18,2019-10-23,2019-10-24
6878,FLC,2019-07-18,2019-09-20,2019-09-23
6879,FLC,2019-07-18,2019-08-22,2019-08-23
6880,FLC,2019-04-25,2019-07-23,2019-07-24
6881,FLC,2019-04-25,2019-06-20,2019-06-21
6882,FLC,2019-04-25,2019-05-22,2019-05-23
6883,FLC,2019-01-24,2019-04-22,2019-04-23
6884,FLC,2019-01-24,2019-03-21,2019-03-22
6885,FLC,2019-01-24,2019-02-20,2019-02-21
6886,FLC,2018-12-11,2019-01-23,2019-01-24
6887,FLC,2018-12-11,2018-12-20,2018-12-21
6888,FLC,2018-10-19,2018-11-21,2018-11-23
6889,FLC,2018-07-19,2018-10-23,2018-10-24
6890,FLCB,2020-09-29,2020-09-30,2020-10-01
6891,FLCB,2020-08-28,2020-08-31,2020-09-01
6892,FLCB,2020-07-30,2020-07-31,2020-08-03
6893,FLCB,2020-06-29,2020-06-30,2020-07-01
6894,FLCB,2020-05-28,2020-05-29,2020-06-01
6895,FLCB,2020-04-29,2020-04-30,2020-05-01
6896,FLCB,2020-03-30,2020-03-31,2020-04-01
6897,FLCB,2020-02-27,2020-02-28,2020-03-02
6898,FLCB,2020-01-30,2020-01-31,2020-02-03
6899,FLCB,2019-12-30,2019-12-31,2020-01-04
6900,FLCB,2019-11-27,2019-11-29,2019-12-02
6901,FLCB,2019-10-30,2019-10-31,2019-11-01
6902,FLCB,2019-09-27,2019-09-30,2019-10-01
6903,FLCO,2020-09-29,2020-09-30,2020-10-01
6904,FLCO,2020-08-28,2020-08-31,2020-09-01
6905,FLCO,2020-07-30,2020-07-31,2020-08-03
6906,FLCO,2020-06-29,2020-06-30,2020-07-01
6907,FLCO,2020-05-28,2020-05-29,2020-06-01
6908,FLCO,2020-04-29,2020-04-30,2020-05-01
6909,FLCO,2020-03-30,2020-03-31,2020-04-01
6910,FLCO,2020-02-27,2020-02-28,2020-03-02
6911,FLCO,2020-01-30,2020-01-31,2020-02-03
6912,FLCO,2019-01-03,2019-12-30,2019-12-31
6913,FLCO,2019-01-03,2019-11-29,2019-12-02
6914,FLCO,2019-01-03,2019-10-31,2019-11-01
6915,FLCO,2019-01-03,2019-09-30,2019-10-01
6916,FLCO,2019-01-03,2019-08-30,2019-09-03
6917,FLCO,2019-01-03,2019-07-31,2019-08-01
6918,FLCO,2019-01-03,2019-06-28,2019-07-01
6919,FLCO,2019-01-03,2019-05-31,2019-06-03
6920,FLCO,2019-01-03,2019-04-30,2019-05-01
6921,FLCO,2019-01-03,2019-03-29,2019-04-01
6922,FLCO,2019-02-27,2019-02-28,2019-03-01
6923,FLCO,2019-01-03,2019-01-31,2019-02-01
6924,FLCO,2018-12-27,2018-12-28,2018-12-31
6925,FLCO,2018-11-29,2018-11-30,2018-12-03
6926,FLCO,2018-01-24,2018-10-31,2018-11-01
6927,FLDR,2020-01-30,2020-09-28,2020-09-29
6928,FLDR,2020-01-30,2020-08-27,2020-08-28
6929,FLDR,2020-01-30,2020-07-29,2020-07-30
6930,FLDR,2020-01-30,2020-06-26,2020-06-29
6931,FLDR,2020-01-30,2020-05-27,2020-05-28
6932,FLDR,2020-01-30,2020-04-28,2020-04-29
6933,FLDR,2020-01-30,2020-03-27,2020-03-30
6934,FLDR,2020-01-30,2020-02-26,2020-02-27
